comment_id,video_id,author,text,like_count,published_at,reply_count,is_reply
UgxU5rWHNSzcYdeIARJ4AaABAg.ASciQqzVkLJASkRnulvgvO,j2qUj7a0ja8,@DataExecute,@QuantumNinja1.9v And he took inspiration from me 😁,0,2026-02-03T03:13:24Z,0,True
UgwXc5ZNGEcDvefYoyd4AaABAg,j2qUj7a0ja8,@mohinijaiswal382,0:17  hein?? voice changed 😳,129,2026-01-31T10:30:30Z,5,False
UgwXc5ZNGEcDvefYoyd4AaABAg.ASdVReWbSzKASeFqiRID2B,j2qUj7a0ja8,@Naveen61527,First one is recorded from speaker,5,2026-01-31T17:33:29Z,0,True
UgwXc5ZNGEcDvefYoyd4AaABAg.ASdVReWbSzKASfSMrQxvVa,j2qUj7a0ja8,@nasigaming-l4e,AI ka kamaal hai,9,2026-02-01T04:42:06Z,0,True
UgwXc5ZNGEcDvefYoyd4AaABAg.ASdVReWbSzKASgVjD1zQvE,j2qUj7a0ja8,@BrainyAthelete,"Ghok ghok 😂😂😀






Joking btw",3,2026-02-01T14:30:45Z,0,True
UgwXc5ZNGEcDvefYoyd4AaABAg.ASdVReWbSzKASiiHCUrzMR,j2qUj7a0ja8,@mememaxxing,indie superman 😂,1,2026-02-02T11:07:36Z,0,True
UgwXc5ZNGEcDvefYoyd4AaABAg.ASdVReWbSzKASr8cMSamn1,j2qUj7a0ja8,@bishalmagar9285,Maybe mic or speaker problem,0,2026-02-05T17:40:29Z,0,True
Ugxm0prH2niUzpxADEB4AaABAg,j2qUj7a0ja8,@story_narrator20,people who dont know him and watching here for first time 💀,97,2026-01-30T16:58:00Z,0,False
Ugy_P7qwcc7qpgV6maF4AaABAg,j2qUj7a0ja8,@Dhruvratheesort,Apka fan hone ki vajah se english me bhi video dekh li jabki mujhe english nhi aati abhi bolna seekh rha hu big fan 🫵🤗🥰🇮🇳,15,2026-02-01T12:12:46Z,3,False
Ugy_P7qwcc7qpgV6maF4AaABAg.ASgFwdhBtstASsF93_0_HR,j2qUj7a0ja8,@hazrat_dhurv_rathee_waslam,😂😂😂,0,2026-02-06T03:56:45Z,0,True
Ugy_P7qwcc7qpgV6maF4AaABAg.ASgFwdhBtstAT2_RyxKjBm,j2qUj7a0ja8,@Mohammadsahil-zr7yx,​@hazrat_dhurv_rathee_waslam?,0,2026-02-10T13:34:29Z,0,True
Ugy_P7qwcc7qpgV6maF4AaABAg.ASgFwdhBtstAT4bcZbaahX,j2qUj7a0ja8,@hazrat_dhurv_rathee_waslam,​@Mohammadsahil-zr7yx your new profet dhurv rathee 😂😂😂,0,2026-02-11T08:32:01Z,0,True
Ugy723r9w_G5QLYq6fR4AaABAg,j2qUj7a0ja8,@ATOMICCREATION123,Dharuv Sir Students ke liye free kar do  Ai Fiesta,23,2026-01-31T05:39:32Z,0,False
